רשימת יישובים ואזורים סטטיסטיים שבהם מתגוררת אוכלוסייה חרדית לפי רמת הומוגניות חרדית,,,,,,
137,6,ירושלים,3000,115,"בלבן מאיר, גולדברג לאה, ויקטור ויוליוס, מעגלות הרב פרדס, שד נוה יעקב",6
138,6,ירושלים,3000,858,"נרקיס, כהנוב, פרוש, השל""ה, שערי חסד",7
139,6,ירושלים,3000,1032,"שחראי, הרב עוזיאל, בית וגן, חקלאי זאב",6
140,6,ירושלים,3000,2512,הרובע היהודי,7
141,6,כפר גדעון,106,0,,6
142,6,צפת,8000,5,"האר""י, קרן היסוד, ירושלים, הפלמ""ח, חטיבת יפתח",7
143,6,קרית גת,2630,32,"גאון הירדן, עדולם, שד' גת, אדוריים, שדרות אתרי המקרא",10
7,,,,,,
144,7,חיפה,4000,641,"מיכאל, בר כוכבא, הגבורים, הרצל, יל""ג",10
145,7,ירושלים,3000,831,"פין גיימס, ירמיהו, ברנדיס, מלכי ישראל, רש""י, תחכמוני, בר גיורא",11
146,7,ירושלים,3000,842,"הלני המלכה, הנביאים, אדלר שאול, שבטי ישראל, אתיופיה",7
147,7,ערד,2560,1,"הקנאים, חברון, חרוב, ירושלים, מעון",7
148,7,תל אביב - יפו,5000,226,"דבורה הנביאה, קהילת קליבלנד, הצנחנים, בית אל, ולנברג ראול",7
8,,,,,,
149,8,אלעד,1309,2,"רבן יוחנן בן זכאי, אבטליון, רבי יהודה נשיא, שמעיה, רבי טרפון",8
150,8,אלעד,1309,3,"רבי יוסי בן קיסמא, רבינו בחיי, רבינו חננאל, רבן יוחנן בן זכאי, שמעון הצדיק",8
151,8,בני ברק,6100,112,"נורוק, אביעד, אברבנאל, גרינברג, הרב ראט משולם",8
152,8,ירושלים,3000,532,"ארץ חפץ, חטיבת הראל, מגן האלף, עץ הדר, שמואל הנביא",8
153,8,כוכב יעקב,3779,0,,9
154,8,נתיבות,246,5,"שד ויצמן, הרב גרשונוביץ, חיל אוויר, חיל הים, חיל הנדסה",8
9,,,,,,
155,9,אשדוד,70,143,"הרב אברמסקי, סנש חנה, הרב רוזובסקי, הפלמ""ח, שד, עוזיהו",9
156,9,אשדוד,70,144,"רבי עקיבא, אדמו""ר מפיטסבורג, הפלמ""ח, חפץ חיים, סנש חנה",6
157,9,בית שמש,2610,35,"נהר הירדן, נחל קטלב, נחל שמשון, נחל דולב, נחל הבשור",10
158,9,בני ברק,6100,122,"אבו חצירא ישראל, הרב פתאיה, אברבנאל, הירקון, המכבים",9
159,9,בני ברק,6100,123,"ז'בוטינסקי, אברבנאל, טרומפלדור, החלוצים, הרצל",9
160,9,ירושלים,3000,421,"בובליק גדליה, סילבר אבא הלל, פרנקפורטר פליקס, קדימה, מורגנטאו הנרי",10
161,9,ירושלים,3000,422,"נרות שבת, סילבר אבא הלל, ליפסקי לואי, הרב הרץ יוסף צבי, הדף היומי",10
162,9,ירושלים,3000,434,"אשכולי אהרון, צונדק, אבן שמואל, קרני יהודה, ההבטחה",10
163,9,ירושלים,3000,812,"הנביאים, החומה השלישית, הע""ח, חיל הנדסה, שבטי ישראל",6
164,9,ירושלים,3000,1016,"בן ציון, דגל ראובן, הרב צבי יהודה, הרב ריינס, שד הרצל",10
165,9,נתיבות,246,2,"ירושלים, ז'בוטינסקי, הרמב""ם, מלכי ישראל, הרב בר אילן",9
166,9,צפת,8000,6,"צה""ל, דרך השוקולד, דרך השומשום, אלעזר דוד",9
167,9,קרית גת,2630,33,"שד גת, שדרות אתרי המקרא, שד מלכי ישראל, גאון הירדן, ענתות",6
168,9,רחובות,8400,232,"שבזי, עזרא, מרים מזרחי, קפרא מנשה, הרצל",10
10,,,,,,
169,10,אשדוד,70,142,"הפלמ""ח, מבצע ברק, חטיבת כרמלי, חטיבת גולני, חטיבת הנגב",9
170,10,אשדוד,70,221,"גור דב, שחם יואב, אפרתי אליהו, בן יוסף שלמה, שפירא אברהם",10
171,10,אשדוד,70,222,"מילמן, אלבז נתן, גור דב, טרומפלדור, מיכשוילי",12
172,10,אשדוד,70,223,"גור דב, אלבז נתן, נרה בלולו, שד' בני ברית, בן יוסף שלמה",10
173,10,בני ברק,6100,121,"הרב יוסף חיים, בגין מנחם, הירקון, זרובבל, ז'בוטינסקי",12
174,10,גבעת זאב,3730,3,"קרית יערים, ערבה ,אתרוג, הגיא, לולב",10
175,10,חיפה,4000,622,"רש""י, ארלוזורוב, בר גיורא, גאולה, הפועל",10
176,10,חיפה,4000,623,"רבי עקיבא, סנש חנה, המימוני, בלום לאון, בעל שם טוב",10
177,10,חיפה,4000,644,"הרב קניאל, גאולה, האר""י",10
178,10,חצור הגלילית,2034,0,,10
179,10,טבריה,6700,12,"אחד העם, ניברג, טבור הארץ, יהודה הנשיא, אהל יעקב",12
180,10,טבריה,6700,13,"גוש עציון, טבור הארץ, המגינים, אלחדיף, חברון",12
181,10,ירושלים,3000,116,"טבנקין יצחק, אבא אחימאיר, וסרמן פנחס, שד נוה יעקב, סנש משה",10
182,10,ירושלים,3000,431,"המשורר אצ""ג, המשוררת זלדה, זרחי ישראל, קוטשר יחזקאל, רקנטי אברהם",10
183,10,ירושלים,3000,433,"שי, יגאל, מס ראובן, עלית הנוער, צונדק",10
184,10,ירושלים,3000,523,"פארן, ששת הימים, מעבר המיתלה, שד לוי אשכול, דרך בר-לב",10
185,10,ירושלים,3000,841,"הנביאים, החבצלת, הרב קוק, שטראוס, יפו",7
186,10,ירושלים,3000,853,"יפו, אגריפס, בית יעקב, כי""ח, מחנה יהודה",10
187,10,ירושלים,3000,861,"דיסקין, שד בן צבי יצחק",11
188,10,ירושלים,3000,1122,"ברזיל, אולשוונגר, לוין שמריהו, הנטקה",10
189,10,ירושלים,3000,1221,"טור סיני, שרון, ברזיל, הנטקה, פסח חברוני",11
190,10,ירושלים,3000,1633,"אחלמה,הגננת,הרב אונטרמן,האחות יהודית",.
191,10,ירושלים,3000,2513,הרובע הארמני,.
192,10,מירון,607,0,,10
193,10,נתניה,7400,221,"התנועה הציונית, סוקולוב, עמק חפר, רבי עקיבא, הולנד",11
194,10,נתניה,7400,332,"שפירא אברהם, גבע, יהודה הלוי, פתח תקוה, שד בנימין",10
195,10,פתח תקווה,7900,141,"ארלוזורוב, סטפן, טרומפלדור, הוז דב, האורים",10
196,10,פתח תקווה,7900,142,"כצנלסון ברל, בורוכוב, קלויזנר, טרומפלדור, ארלוזורוב",11
197,10,פתח תקווה,7900,236,"פרנקפורטר דוד, רוטשילד, אלתר מיהוד, טרומפלדור, סלומון",11
198,10,צפת,8000,4,"הנשיא, הפלמ""ח, החלוץ, פרומצ'נקו, שפרינצק",10
199,10,רחובות,8400,117,"עזרא, הבנים, בנימין, הרצל, נורדאו",10
200,10,רחובות,8400,121,"מנוחה ונחלה, השומרים, סירני, הבעש""ט, וייסבורג",11
201,10,רחובות,8400,124,"פלמ""ח, סירני, מרגולין, ההגנה, השומרים",11
202,10,רחובות,8400,211,"הרב מאיר יוסף, נתיב הל""ה, לח""י, גוש עציון, ההגנה",10
203,10,רחובות,8400,212,"התחיה,לח""י,וינר יוסף, שטינברג,ההגנה",.
11,,,,,,
204,11,חזון,1047,0,,10
205,11,חיפה,4000,314,,.
206,11,חיפה,4000,631,"יוסף, בלפור, תל חי, ארלוזורוב,פבזנר",11
207,11,חיפה,4000,722,"הגליל, התיכון, חניתה, שד טרומפלדור, הבריכה",11
208,11,חיפה,4000,811,"שד טרומפלדור, גלבוע, פינסקר, אדם הכהן, ברל כצנלסון",11
209,11,ירושלים,3000,862,"אוסישקין, אברבנאל, רמב""ן, הקרן הקיימת, אלחריזי",11
210,11,ירושלים,3000,1024,"בזק,בצלאל,פרופ רוקח, ברודצקי,דרך בגין",.
211,11,כדיתה,1338,0,,10
212,11,ערד,2560,2,"בן יאיר אלעזר, שמעון, יאשיהו, ירושלים, הקנאים",11
213,11,ערד,2560,3,"ירושלים, בן יאיר אלעזר, יהודה, יובל, פלג",11
214,11,פתח תקווה,7900,235,"אחד העם, הרצל, סמילנסקי, רוטשילד, שפירא הרמן צבי",11
215,12,אבן שמואל,400,0,,.
216,12,אדירים,113,0,,12
217,12,אופקים,31,3,"דרך בית וגן, הנשיא, גבורי ישראל, שד הרצל, אלי כהן",12
218,12,אור יהודה,2400,7,"שפרינצק, שרת משה, אסירי ציון, סעדון אליהו, יהדות קנדה",12
219,12,אור יהודה,2400,8,"החלוצים, הל""ה, סיני, עולי הגרדום, שד בן פורת מרדכי",12
220,12,אחיסמך,804,0,,.
221,12,אחיעזר,797,0,,12
222,12,איתמר,3762,0,,.
223,12,איתן,37,0,,12
224,12,אלון מורה,3579,0,,.
225,12,אשדוד,70,333,"נהלל, אדוננו ברוך, ראש פינה, קארו יוסף, שדרות רש""י",12
226,12,אשקלון,7100,225,"אבימלך, השבטים, אליאב אורי, בנימין, ראובן",12
227,12,אשקלון,7100,226,"השופטים, שיבת ציון, התחיה, אליהו הנביא, הנביאים",12
228,12,אשקלון,7100,321,"הרב נסים יצחק, ההסתדרות, עגנון, שד שפירא, שד בן גוריון",12
229,12,באר שבע,9000,213,"זמורה משה, ויתקון אלפרד, דורי יעקב, דוד אלעזר, מקלף מרדכי",12
230,12,בית אל,3574,0,,.
231,12,בית הגדי,723,0,,.
232,12,בית מאיר,751,0,,11
233,12,בית רבן,848,0,,.
234,12,בית שאן,9200,2,"מיזוג גלויות, שאול המלך, בויאר אווה, טולידנו, מרקוס",12
235,12,בית שאן,9200,3,"ידין יגאל, ירושלים הבירה, מכלוף יעקב, שאול המלך, שמש יצחק",12
236,12,בן זכאי,760,0,,.
237,12,בני ראם,588,0,,.
238,12,בר יוחאי,1191,0,,.
239,12,ברקת,2038,0,,.
240,12,בת ים,6200,522,"פרנק אנה, כ""ט בנובמבר, הרב ניסנבוים יצחק, האדמו""ר מבאבוב, הרב מימון",12
241,12,בת עין,3794,0,,.
242,12,גבע בנימין,3763,0,,.
243,12,זבדיאל,815,0,,12
244,12,זרחיה,818,0,,12
245,12,חולון,6600,621,"הבנים, המעפילים, מבצע סיני, שד הוז דב, גבעתי",12
246,12,חיפה,4000,111,"בעלי התני""א, שטרן יוסף, שד ורבורג, הרב לוין אריה, משה חיים שפירא",12
247,12,חיפה,4000,112,"הרב ריינס,פרומר דב,שד הרוא""ה,שד, ורבורג",.
248,12,טבריה,6700,15,"יהודה הלוי, טולידנו, ברנר, הנוטר, החרמון",12
249,12,טבריה,6700,32,"שז""ר זלמן, כוכב, הנשיא ויצמן, אלעזר דוד, בן אליעזר אריה",12
250,12,טבריה,6700,33,"בית הלל, בן צבי יצחק, הנשיא ויצמן, ז'בוטינסקי, סנש חנה",12
251,12,טבריה,6700,34,"שרת משה, אלפסי, הרב עוזיאל, הרב קוק, סיני",12
252,12,טלמון,3788,0,,.
253,12,יבנאל,46,0,,12
254,12,יבנה,2660,6,"העצמאות, הרב אבוחצירה, שבזי, דרך חג'ג' אהרון, שד דואני",12
255,12,יד בנימין,577,0,,.
256,12,יושיביה,803,0,,.
257,12,יערה,795,0,,12
258,12,ירושלים,3000,811,"דוד המלך,ממילא,קריב יצחק,שלמה המלך",.
259,12,ירושלים,3000,1015,"פרבשטיין, שד הרצל, הרב קוסובסקי, שד המאירי, קרת משה",11
260,12,ירושלים,3000,1124,"בורוכוב,זנגויל,קליינמן,רבינוביץ אהרון",.
261,12,ירושלים,3000,1631,"הרוזמרין,ורדינון,הצוף,המור, האפרסמון",.
262,12,ירושלים,3000,2514,הרובע הנוצרי,.
263,12,ישעי,805,0,,12
264,12,כוכב השחר,3564,0,,.
265,12,כסלון,859,0,,12
266,12,כפר תפוח,3572,0,,.
267,12,כרם יבנה (ישיבה),1094,0,,11
268,12,לוד,7000,42,"אינשטיין, בן חקון, חטיבת יפתח, יוספטל גיורא, שלמה המלך",12
269,12,מבוא חורון,3709,0,,.
270,12,מבוא מודיעים,1141,0,,.
271,12,מגדל העמק,874,3,"רמת יזרעאל, הרב בוסקילה רפאל, הדובדבן, החורש, הגפן",12
272,12,מעגלים,1082,0,,.
273,12,מעלה לבונה,3752,0,,.
274,12,מצפה יריחו,3576,0,,.
275,12,נצר חזני,1372,0,,.
276,12,נתיבות,246,1,"הרב אלנקוה, ירושלים, הרב אבוחצירא, מסעוד אלפסי, כלפון הכהן",12
277,12,נתיבות,246,4,"בעלי מלאכה, העצמאות, ירושלים, הרב בר אילן, ורדימון יצחק",12
278,12,נתיבות,246,6,"יובל, חזני, ירושלים, שד ויצמן, הכותל",12
279,12,נתניה,7400,333,"שפירא אברהם, שד בנימין, פתח תקוה, יהודה הלוי, לבונטין",12
280,12,נתניה,7400,343,"יהודה הלוי,שד בנימין,פתח תקוה,בן אליעזר",.
281,12,נתניה,7400,351,"גבע, אפרים, מורדי הגטאות, ניל""י, פתח תקוה",12
282,12,נתניה,7400,352,"אבן עזרא, הגר""א, האר""י, פתח תקוה, שד בן צבי",12
283,12,עוזה,826,0,,12
284,12,עלי,3765,0,,.
285,12,ענב,3712,0,,.
286,12,פטיש,749,0,,12
287,12,"פעמי תש""ז",2059,0,,12
288,12,פקיעין חדשה,281,0,,.
289,12,פתח תקווה,7900,511,"תורה ועבודה, שמואל הנגיד,בר יוחאי,ראש העין,הנח""ל",.
290,12,פתח תקווה,7900,512,"הגר""א, רבי עקיבא, הנח""ל, גרין יונה, הרב הרצוג",12
291,12,פתח תקווה,7900,522,"רבי יהודה הנשיא, ירושלים, חסדי שמעון, הרב עטיה עזרא, דרך בגין מנחם",12
292,12,צפת,8000,3,"ז'בוטינסקי זאב, העצמאות, הפלמ""ח, ירושלים, עליה ב",12
293,12,צפת,8000,7,"ויצמן, לוחמי הגטאות, אצ""ל, רמז דוד, יפה נוף",12
294,12,קרית ארבע,3611,0,,.
295,12,קרית מלאכי,1034,4,"הוורדים,הציפורן,השושנים,ז'בוטינסקי,כלנית",.
296,12,קרית מלאכי,1034,5,"שד בן גוריון, בר יהודה, המ""ג, הרצל, ז'בוטינסקי",12
297,12,ראש העין,2640,3,"בן נון יהושוע,וולפסון,מרבד הקסמים,אבן עזרא",.
298,12,שבי שומרון,3571,0,,.
299,12,שדות מיכה,27,0,,12
300,12,שילה,3641,0,,.
301,12,שלווה,873,0,,12
302,12,שעלבים,856,0,,.
303,12,שרשרת,398,0,,12
304,12,תושיה,1083,0,,.
305,12,תירוש,10,0,,.
306,12,תל אביב - יפו,5000,743,"אהלי יעקב, גרינבוים, גרוסמן מאיר, דרך בן צבי, צונץ",12
307,12,תל אביב - יפו,5000,744,"גרוסמן מאיר, הלוחמים, דרך בן צבי, דרך יגאל ידין, תל גבורים",12
308,12,תל אביב - יפו,5000,823,"גולומב, קבוץ גלויות, חיל השריון, דרך ההגנה, ישראל מסלנט",12
309,12,תל אביב - יפו,5000,824,"מאור הגולה, מסילת ישרים, שד חכמי ישראל, קבוץ גלויות, חכמי לובלין",12
310,12,תל אביב - יפו,5000,833,"קבוץ גלויות, גורי ישראל, קפלנסקי, דרך בן צבי, חיל השריון",12
311,12,תל אביב - יפו,5000,932,"מושיע, אצ""ל, ותיק, דרך ההגנה, ורד",12
312,12,תל אביב - יפו,5000,933,"בועז, קלמן, איתיאל, לח""י, אצ""ל",12
313,12,תל אביב - יפו,5000,936,"שתולים, לח""י, חירותנו, תשרי, נתיבות",12
314,12,תלם,3719,0,,.
315,12,תלמים,814,0,,12
